nthreads,photons,runs
1,8388608,20
2,8388608,20
3,8388608,20
4,8388608,20
1,16777216,20
2,16777216,20
3,16777216,20
4,16777216,20
1,33554432,20
2,33554432,20
3,33554432,20
4,33554432,20
