compilador_flag,photons,time,pus
gcc_Ofastfdisabletreecunrolli,16777216, 9.729840, 1.724305
gcc_Ofastfdisabletreecunrolli,16777216, 9.723300, 1.725465
gcc_Ofastfdisabletreecunrolli,16777216, 9.691048, 1.731208
icx_O1,16777216, 36.635152, 0.457954
icx_O1,16777216, 36.222177, 0.463175
icx_O1,16777216, 36.238714, 0.462964
icx_O1,16777216, 39.838340, 0.421132
icx_O1,16777216, 36.273856, 0.462515
icx_O1,16777216, 36.249797, 0.462822
icx_O1,16777216, 36.244442, 0.462891
icx_O1,16777216, 36.382780, 0.461131
icx_O1,16777216, 36.570013, 0.458770
icx_O1,16777216, 36.277024, 0.462475
icx_O1,16777216, 36.258664, 0.462709
icx_O1,16777216, 36.313428, 0.462011
icx_O1,16777216, 36.828917, 0.455545
icx_O1,16777216, 36.254484, 0.462763
icx_O1,16777216, 36.628499, 0.458037
icx_O1,16777216, 36.862012, 0.455136
icx_O1,16777216, 36.286278, 0.462357
icx_O1,16777216, 36.218889, 0.463217
icx_O1,16777216, 36.226652, 0.463118
icx_O1,16777216, 36.406964, 0.460824
icx_O1fnounrollloops,16777216, 36.292400, 0.462279
icx_O1fnounrollloops,16777216, 36.435914, 0.460458
icx_O1fnounrollloops,16777216, 36.303981, 0.462132
icx_O1fnounrollloops,16777216, 36.227756, 0.463104
icx_O1fnounrollloops,16777216, 36.397524, 0.460944
icx_O1fnounrollloops,16777216, 36.249328, 0.462828
icx_O1fnounrollloops,16777216, 36.208878, 0.463345
icx_O1fnounrollloops,16777216, 36.209462, 0.463338
icx_O1fnounrollloops,16777216, 36.292071, 0.462283
icx_O1fnounrollloops,16777216, 36.453075, 0.460241
icx_O1fnounrollloops,16777216, 36.214771, 0.463270
icx_O1fnounrollloops,16777216, 36.477509, 0.459933
icx_O1fnounrollloops,16777216, 36.376371, 0.461212
icx_O1fnounrollloops,16777216, 36.204783, 0.463398
icx_O1fnounrollloops,16777216, 36.834121, 0.455480
icx_O1fnounrollloops,16777216, 36.264803, 0.462631
icx_O1fnounrollloops,16777216, 36.515910, 0.459449
icx_O1fnounrollloops,16777216, 36.284796, 0.462376
icx_O1fnounrollloops,16777216, 36.237121, 0.462984
icx_O1fnounrollloops,16777216, 36.425727, 0.460587
icx_O2,16777216, 29.964482, 0.559903
icx_O2,16777216, 30.076154, 0.557825
icx_O2,16777216, 29.982895, 0.559560
icx_O2,16777216, 30.251915, 0.554584
icx_O2,16777216, 29.984812, 0.559524
icx_O2,16777216, 30.173603, 0.556023
icx_O2,16777216, 30.209419, 0.555364
icx_O2,16777216, 30.046055, 0.558383
icx_O2,16777216, 30.043164, 0.558437
icx_O2,16777216, 30.231690, 0.554955
icx_O2,16777216, 30.043475, 0.558431
icx_O2,16777216, 29.986620, 0.559490
icx_O2,16777216, 29.958976, 0.560006
icx_O2,16777216, 30.072071, 0.557900
icx_O2,16777216, 29.976338, 0.559682
icx_O2,16777216, 30.132522, 0.556781
icx_O2,16777216, 30.225208, 0.555074
icx_O2,16777216, 29.989661, 0.559433
icx_O2,16777216, 30.022112, 0.558829
icx_O2,16777216, 30.216897, 0.555226
icx_O2fnounrollloops,16777216, 13.556937, 1.237537
icx_O2fnounrollloops,16777216, 13.480534, 1.244551
icx_O2fnounrollloops,16777216, 13.393328, 1.252655
icx_O2fnounrollloops,16777216, 13.541495, 1.238949
icx_O2fnounrollloops,16777216, 13.778450, 1.217642
icx_O2fnounrollloops,16777216, 13.412738, 1.250842
icx_O2fnounrollloops,16777216, 13.719708, 1.222855
icx_O2fnounrollloops,16777216, 13.424494, 1.249747
icx_O2fnounrollloops,16777216, 13.481291, 1.244481
icx_O2fnounrollloops,16777216, 13.553224, 1.237876
icx_O2fnounrollloops,16777216, 13.334187, 1.258211
icx_O2fnounrollloops,16777216, 13.436311, 1.248648
icx_O2fnounrollloops,16777216, 13.525694, 1.240396
icx_O2fnounrollloops,16777216, 13.381793, 1.253735
icx_O2fnounrollloops,16777216, 13.453870, 1.247018
icx_O2fnounrollloops,16777216, 13.531836, 1.239833
icx_O2fnounrollloops,16777216, 13.763014, 1.219007
icx_O2fnounrollloops,16777216, 13.714342, 1.223334
icx_O2fnounrollloops,16777216, 13.464899, 1.245996
icx_O2fnounrollloops,16777216, 13.497168, 1.243017
icx_O3,16777216, 30.040674, 0.558483
icx_O3,16777216, 30.281252, 0.554046
icx_O3,16777216, 30.271889, 0.554218
icx_O3,16777216, 30.225386, 0.555070
icx_O3,16777216, 30.275449, 0.554153
icx_O3,16777216, 30.042965, 0.558441
icx_O3,16777216, 30.227651, 0.555029
icx_O3,16777216, 30.053863, 0.558238
icx_O3,16777216, 30.002383, 0.559196
icx_O3,16777216, 30.183424, 0.555842
icx_O3,16777216, 30.105871, 0.557274
icx_O3,16777216, 30.219292, 0.555182
icx_O3,16777216, 30.238042, 0.554838
icx_O3,16777216, 30.174797, 0.556001
icx_O3,16777216, 29.929701, 0.560554
icx_O3,16777216, 30.252063, 0.554581
icx_O3,16777216, 30.022222, 0.558827
icx_O3,16777216, 30.108972, 0.557216
icx_O3,16777216, 30.557938, 0.549030
icx_O3,16777216, 30.109697, 0.557203
icx_O3fnounrollloops,16777216, 13.413588, 1.250763
icx_O3fnounrollloops,16777216, 13.450883, 1.247295
icx_O3fnounrollloops,16777216, 13.542394, 1.238866
icx_O3fnounrollloops,16777216, 14.823221, 1.131820
icx_O3fnounrollloops,16777216, 13.376251, 1.254254
icx_O3fnounrollloops,16777216, 13.370501, 1.254793
icx_O3fnounrollloops,16777216, 13.437668, 1.248521
icx_O3fnounrollloops,16777216, 13.479638, 1.244634
icx_O3fnounrollloops,16777216, 14.386660, 1.166165
icx_O3fnounrollloops,16777216, 14.959347, 1.121521
icx_O3fnounrollloops,16777216, 13.339998, 1.257663
icx_O3fnounrollloops,16777216, 14.813484, 1.132564
icx_O3fnounrollloops,16777216, 13.451052, 1.247279
icx_O3fnounrollloops,16777216, 13.452033, 1.247188
icx_O3fnounrollloops,16777216, 13.339239, 1.257734
icx_O3fnounrollloops,16777216, 13.433400, 1.248918
icx_O3fnounrollloops,16777216, 13.422615, 1.249922
icx_O3fnounrollloops,16777216, 15.050681, 1.114715
icx_O3fnounrollloops,16777216, 13.368321, 1.254998
icx_O3fnounrollloops,16777216, 13.382442, 1.253674
