compilador_flag,photons,time,pus
gcc_Ofastfdisabletreecunrolli,16777216, 13.274513, 1.263867
gcc_Ofastfdisabletreecunrolli,16777216, 13.527036, 1.240273
gcc_Ofastfdisabletreecunrolli,16777216, 13.354370, 1.256309
icx_O1,16777216, 56.820517, 0.295267
icx_O1,16777216, 56.800738, 0.295370
icx_O1,16777216, 57.465263, 0.291954
icx_O1,16777216, 56.824691, 0.295245
icx_O1,16777216, 56.991108, 0.294383
icx_O1,16777216, 56.891088, 0.294901
icx_O1,16777216, 56.849199, 0.295118
icx_O1,16777216, 56.794583, 0.295402
icx_O1,16777216, 56.838943, 0.295171
icx_O1,16777216, 57.622177, 0.291159
icx_O1,16777216, 56.959100, 0.294548
icx_O1,16777216, 58.711420, 0.285757
icx_O1,16777216, 56.888428, 0.294914
icx_O1,16777216, 56.791875, 0.295416
icx_O1,16777216, 57.511289, 0.291720
icx_O1,16777216, 61.658545, 0.272099
icx_O1,16777216, 56.884078, 0.294937
icx_O1,16777216, 56.859124, 0.295066
icx_O1,16777216, 57.521557, 0.291668
icx_O1,16777216, 56.924258, 0.294729
icx_O1fnounrollloops,16777216, 56.785270, 0.295450
icx_O1fnounrollloops,16777216, 56.782461, 0.295465
icx_O1fnounrollloops,16777216, 56.875836, 0.294980
icx_O1fnounrollloops,16777216, 56.847708, 0.295126
icx_O1fnounrollloops,16777216, 56.773148, 0.295513
icx_O1fnounrollloops,16777216, 56.938765, 0.294654
icx_O1fnounrollloops,16777216, 56.903424, 0.294837
icx_O1fnounrollloops,16777216, 56.838519, 0.295173
icx_O1fnounrollloops,16777216, 56.881865, 0.294948
icx_O1fnounrollloops,16777216, 56.796418, 0.295392
icx_O1fnounrollloops,16777216, 56.841869, 0.295156
icx_O1fnounrollloops,16777216, 56.876334, 0.294977
icx_O1fnounrollloops,16777216, 56.765390, 0.295554
icx_O1fnounrollloops,16777216, 56.820205, 0.295268
icx_O1fnounrollloops,16777216, 56.909403, 0.294806
icx_O1fnounrollloops,16777216, 57.645609, 0.291041
icx_O1fnounrollloops,16777216, 56.860094, 0.295061
icx_O1fnounrollloops,16777216, 56.817791, 0.295281
icx_O1fnounrollloops,16777216, 56.854598, 0.295090
icx_O1fnounrollloops,16777216, 56.870259, 0.295009
icx_O2,16777216, 17.939281, 0.935222
icx_O2,16777216, 17.968311, 0.933711
icx_O2,16777216, 17.937226, 0.935329
icx_O2,16777216, 18.028084, 0.930616
icx_O2,16777216, 17.928455, 0.935787
icx_O2,16777216, 17.969847, 0.933632
icx_O2,16777216, 18.173662, 0.923161
icx_O2,16777216, 17.938789, 0.935248
icx_O2,16777216, 18.140027, 0.924873
icx_O2,16777216, 18.103608, 0.926733
icx_O2,16777216, 18.174858, 0.923100
icx_O2,16777216, 17.927000, 0.935863
icx_O2,16777216, 17.937871, 0.935296
icx_O2,16777216, 18.142125, 0.924766
icx_O2,16777216, 17.957014, 0.934299
icx_O2,16777216, 17.934359, 0.935479
icx_O2,16777216, 18.161507, 0.923779
icx_O2,16777216, 17.931058, 0.935651
icx_O2,16777216, 17.940141, 0.935177
icx_O2,16777216, 17.921811, 0.936134
icx_O2fnounrollloops,16777216, 10.735724, 1.562747
icx_O2fnounrollloops,16777216, 10.734176, 1.562972
icx_O2fnounrollloops,16777216, 10.786316, 1.555417
icx_O2fnounrollloops,16777216, 10.875231, 1.542700
icx_O2fnounrollloops,16777216, 10.731538, 1.563356
icx_O2fnounrollloops,16777216, 10.725691, 1.564208
icx_O2fnounrollloops,16777216, 10.736549, 1.562627
icx_O2fnounrollloops,16777216, 10.877852, 1.542328
icx_O2fnounrollloops,16777216, 12.965067, 1.294032
icx_O2fnounrollloops,16777216, 11.442249, 1.466252
icx_O2fnounrollloops,16777216, 10.862354, 1.544529
icx_O2fnounrollloops,16777216, 10.847681, 1.546618
icx_O2fnounrollloops,16777216, 10.979589, 1.528037
icx_O2fnounrollloops,16777216, 10.729905, 1.563594
icx_O2fnounrollloops,16777216, 10.702632, 1.567578
icx_O2fnounrollloops,16777216, 12.888317, 1.301738
icx_O2fnounrollloops,16777216, 11.098695, 1.511639
icx_O2fnounrollloops,16777216, 10.708295, 1.566749
icx_O2fnounrollloops,16777216, 10.982345, 1.527653
icx_O2fnounrollloops,16777216, 11.220542, 1.495223
icx_O3,16777216, 18.279924, 0.917795
icx_O3,16777216, 17.972119, 0.933514
icx_O3,16777216, 17.947838, 0.934776
icx_O3,16777216, 18.179917, 0.922843
icx_O3,16777216, 17.990812, 0.932544
icx_O3,16777216, 17.965753, 0.933844
icx_O3,16777216, 19.194654, 0.874057
icx_O3,16777216, 17.986972, 0.932743
icx_O3,16777216, 18.260729, 0.918759
icx_O3,16777216, 17.999673, 0.932085
icx_O3,16777216, 18.047094, 0.929635
icx_O3,16777216, 18.014862, 0.931299
icx_O3,16777216, 19.496287, 0.860534
icx_O3,16777216, 17.971662, 0.933537
icx_O3,16777216, 17.986287, 0.932778
icx_O3,16777216, 17.966221, 0.933820
icx_O3,16777216, 17.953106, 0.934502
icx_O3,16777216, 17.976969, 0.933262
icx_O3,16777216, 17.978499, 0.933182
icx_O3,16777216, 17.998522, 0.932144
icx_O3fnounrollloops,16777216, 10.825106, 1.549843
icx_O3fnounrollloops,16777216, 10.708900, 1.566661
icx_O3fnounrollloops,16777216, 10.702920, 1.567536
icx_O3fnounrollloops,16777216, 10.739040, 1.562264
icx_O3fnounrollloops,16777216, 11.054710, 1.517653
icx_O3fnounrollloops,16777216, 10.735595, 1.562765
icx_O3fnounrollloops,16777216, 10.727011, 1.564016
icx_O3fnounrollloops,16777216, 10.861715, 1.544619
icx_O3fnounrollloops,16777216, 10.707892, 1.566808
icx_O3fnounrollloops,16777216, 10.999212, 1.525311
icx_O3fnounrollloops,16777216, 10.734382, 1.562942
icx_O3fnounrollloops,16777216, 10.731431, 1.563372
icx_O3fnounrollloops,16777216, 11.105287, 1.510741
icx_O3fnounrollloops,16777216, 10.899946, 1.539202
icx_O3fnounrollloops,16777216, 10.769933, 1.557783
icx_O3fnounrollloops,16777216, 10.728896, 1.563741
icx_O3fnounrollloops,16777216, 10.704347, 1.567327
icx_O3fnounrollloops,16777216, 10.703659, 1.567428
icx_O3fnounrollloops,16777216, 10.707939, 1.566802
icx_O3fnounrollloops,16777216, 11.038056, 1.519943
