compilador_flag,photons,time,pus,ins,ius
gcc_O0,65536, 0.328177, 0.199697, 2045213412, 6232.048904
gcc_O0,65536, 0.327362, 0.200194, 2046742521, 6252.228553
gcc_O0,65536, 0.326856, 0.200504, 2046758733, 6261.953861
gcc_O0,65536, 0.327731, 0.199969, 2046736255, 6245.169146
gcc_O0,65536, 0.329153, 0.199105, 2046607159, 6217.801595
gcc_O0,65536, 0.326584, 0.200671, 2046575191, 6266.612769
gcc_O0,65536, 0.327464, 0.200132, 2046539442, 6249.656536
gcc_O0,65536, 0.329571, 0.198853, 2045791462, 6207.443624
gcc_O0,65536, 0.327318, 0.200221, 2045679117, 6249.814623
gcc_O0,65536, 0.325996, 0.201033, 2045677912, 6275.167719
gcc_O0,65536, 0.326739, 0.200576, 2048115957, 6268.352514
gcc_O0,65536, 0.326657, 0.200627, 2048084995, 6269.841426
gcc_O0,65536, 0.326898, 0.200478, 2048101603, 6265.262202
gcc_O0,65536, 0.329147, 0.199109, 2048176388, 6222.685331
gcc_O0,65536, 0.327475, 0.200125, 2048135005, 6254.324067
gcc_O0,65536, 0.327039, 0.200392, 2048136381, 6262.674440
gcc_O0,65536, 0.327541, 0.200085, 2047207782, 6250.234861
gcc_O0,65536, 0.326622, 0.200648, 2047144681, 6267.633413
gcc_O0,65536, 0.326646, 0.200633, 2047152357, 6267.183365
gcc_O0,65536, 0.328091, 0.199750, 2045966912, 6235.975478
gcc_O0,65536, 0.329137, 0.199115, 2045961050, 6216.135522
gcc_O0,65536, 0.326662, 0.200623, 2045922410, 6263.122512
gcc_O0,65536, 0.326884, 0.200487, 2047750633, 6264.456300
gcc_O0,65536, 0.327484, 0.200120, 2047718488, 6252.874965
gcc_O0,65536, 0.401670, 0.163159, 2047887382, 5098.434798
gcc_O0,65536, 0.326433, 0.200764, 2047582598, 6272.599225
gcc_O0,65536, 0.328962, 0.199221, 2047609444, 6224.463642
gcc_O0,65536, 0.326715, 0.200591, 2047591397, 6267.210487
gcc_O0,65536, 0.326370, 0.200803, 2046914125, 6271.757006
gcc_O0,65536, 0.326831, 0.200519, 2046906096, 6262.883716
gcc_O0,65536, 0.326520, 0.200710, 2046901054, 6268.837328
gcc_O0,65536, 0.326368, 0.200804, 2045642541, 6267.894097
gcc_O0,65536, 0.327915, 0.199857, 2045644546, 6238.335786
gcc_O0,65536, 0.327160, 0.200318, 2045686871, 6252.865635
gcc_O0,65536, 0.326789, 0.200545, 2047747160, 6266.270047
gcc_O0,65536, 0.328832, 0.199299, 2047737408, 6227.302789
gcc_O0,65536, 0.326795, 0.200542, 2047687715, 6265.970415
gcc_O0,65536, 0.326747, 0.200571, 2047111740, 6265.128342
gcc_O0,65536, 0.326918, 0.200466, 2047048862, 6261.650119
gcc_O0,65536, 0.327320, 0.200220, 2047043743, 6253.952610
gcc_O0,65536, 0.326872, 0.200494, 2045775139, 6258.637094
gcc_O0,65536, 0.326487, 0.200731, 2045736377, 6265.895212
gcc_O0,65536, 0.326705, 0.200597, 2045756219, 6261.793708
gcc_O0,65536, 0.326932, 0.200457, 2046879246, 6260.866423
gcc_O0,65536, 0.326688, 0.200607, 2046904578, 6265.622818
gcc_O0,65536, 0.328738, 0.199357, 2046912978, 6226.586373
gcc_O0,65536, 0.327038, 0.200393, 2046838410, 6258.714936
gcc_O0,65536, 0.326619, 0.200650, 2046844607, 6266.764395
gcc_O0,65536, 0.326702, 0.200599, 2046839118, 6265.159132
gcc_O0,65536, 0.326855, 0.200505, 2045852450, 6259.208519
gcc_O0,65536, 0.328508, 0.199496, 2045881662, 6227.792783
gcc_O0,65536, 0.326619, 0.200650, 2045843042, 6263.702728
gcc_O0,65536, 0.328718, 0.199368, 2047460679, 6228.624757
gcc_O0,65536, 0.333236, 0.196666, 2047454951, 6144.164330
gcc_O0,65536, 0.326794, 0.200542, 2047497120, 6265.410179
gcc_O0,65536, 0.326481, 0.200735, 2045547179, 6265.442397
gcc_O0,65536, 0.326445, 0.200757, 2045548388, 6266.144319
gcc_O0,65536, 0.327271, 0.200250, 2045557402, 6250.355729
gcc_O0,65536, 0.329279, 0.199029, 2045562882, 6212.246764
gcc_O0,65536, 0.327750, 0.199957, 2047594197, 6247.421735
gcc_O0,65536, 0.326855, 0.200505, 2047597951, 6264.549394
gcc_O0,65536, 0.328160, 0.199707, 2047662140, 6239.821032
gcc_O0,65536, 0.326589, 0.200668, 2046825352, 6267.279936
gcc_O0,65536, 0.327284, 0.200242, 2046804822, 6253.919680
gcc_O0,65536, 0.326939, 0.200454, 2046797916, 6260.495278
gcc_O0,65536, 0.329148, 0.199108, 2047683300, 6221.156059
gcc_O0,65536, 0.329987, 0.198601, 2047699647, 6205.386289
gcc_O0,65536, 0.327707, 0.199983, 2047692691, 6248.537828
gcc_O0,65536, 0.326616, 0.200652, 2047747769, 6269.595609
gcc_O0,65536, 0.326593, 0.200666, 2047725851, 6269.962920
gcc_O0,65536, 0.328999, 0.199198, 2047744985, 6224.169383
gcc_O0,65536, 0.329779, 0.198727, 2047247916, 6207.946189
gcc_O0,65536, 0.326552, 0.200691, 2047240467, 6269.267783
gcc_O0,65536, 0.326762, 0.200562, 2047238579, 6265.220279
gcc_O0,65536, 0.326519, 0.200711, 2047467337, 6270.595637
gcc_O0,65536, 0.326476, 0.200738, 2047441783, 6271.339999
gcc_O0,65536, 0.326836, 0.200517, 2047477361, 6264.547108
gcc_O0,65536, 0.328718, 0.199368, 2048925638, 6233.073588
gcc_O0,65536, 0.329586, 0.198844, 2048929038, 6216.679547
gcc_O0,65536, 0.326652, 0.200629, 2048898433, 6272.422251
gcc_O0,65536, 0.326443, 0.200758, 2047504306, 6272.157997
gcc_O0,65536, 0.330014, 0.198585, 2047504599, 6204.292078
gcc_O0,65536, 0.327464, 0.200132, 2047492447, 6252.569664
gcc_O0,65536, 0.327003, 0.200414, 2046827913, 6259.347954
gcc_O0,65536, 0.327207, 0.200289, 2046816940, 6255.410240
gcc_O0,65536, 0.326603, 0.200659, 2046810946, 6266.961233
gcc_O0,65536, 0.326328, 0.200829, 2046743231, 6272.049749
gcc_O0,65536, 0.328584, 0.199450, 2046794897, 6229.138448
gcc_O0,65536, 0.326257, 0.200873, 2046733522, 6273.387418
gcc_O0,65536, 0.326570, 0.200680, 2047944377, 6271.069638
gcc_O0,65536, 0.328395, 0.199564, 2048001979, 6236.390824
gcc_O0,65536, 0.326604, 0.200659, 2047975641, 6270.516365
gcc_O0,65536, 0.327679, 0.200000, 2046217779, 6244.571465
gcc_O0,65536, 0.327286, 0.200241, 2046283673, 6252.273825
gcc_O0,65536, 0.326513, 0.200715, 2046237585, 6266.931487
gcc_O0,65536, 0.326609, 0.200656, 2046778250, 6266.748874
gcc_O0,65536, 0.326650, 0.200631, 2046728402, 6265.810645
gcc_O0,65536, 0.331204, 0.197872, 2046754459, 6179.735488
gcc_O0,65536, 0.326602, 0.200660, 2046801869, 6266.962981
gcc_O0,65536, 0.326487, 0.200731, 2046900525, 6269.470687
gcc_O0,65536, 0.326903, 0.200476, 2046797065, 6261.181356
gcc_O0,65536, 0.326357, 0.200811, 2046645059, 6271.178924
gcc_O0,65536, 0.327428, 0.200154, 2046654036, 6250.707598
gcc_O0,65536, 0.327998, 0.199806, 2046671409, 6239.883682
gcc_O0,65536, 0.326738, 0.200577, 2048224491, 6268.704825
gcc_O0,65536, 0.326783, 0.200549, 2048240454, 6267.883154
gcc_O0,65536, 0.326725, 0.200585, 2048278669, 6269.126385
gcc_O0,65536, 0.326630, 0.200643, 2046586621, 6265.761588
gcc_O0,65536, 0.327018, 0.200405, 2046626524, 6258.444433
gcc_O0,65536, 0.327409, 0.200166, 2046618030, 6250.952333
gcc_O0,65536, 0.328797, 0.199320, 2046461020, 6224.084628
gcc_O0,65536, 0.326178, 0.200921, 2046437485, 6273.983486
gcc_O0,65536, 0.328466, 0.199522, 2046455350, 6230.344393
gcc_O0,65536, 0.327031, 0.200397, 2047409740, 6260.594608
gcc_O0,65536, 0.326513, 0.200715, 2047374044, 6270.421868
gcc_O0,65536, 0.326909, 0.200472, 2047392304, 6262.890310
gcc_O0,65536, 0.329059, 0.199162, 2048943633, 6226.670878
gcc_O0,65536, 0.326988, 0.200423, 2048947060, 6266.121253
gcc_O0,65536, 0.328820, 0.199307, 2048921880, 6231.138115
gcc_O0,65536, 0.327136, 0.200333, 2046677024, 6256.347473
gcc_O0,65536, 0.326253, 0.200875, 2046700397, 6273.348949
gcc_O0,65536, 0.326616, 0.200652, 2046679643, 6266.322260
gcc_O0,65536, 0.326679, 0.200613, 2045749195, 6262.265778
gcc_O0,65536, 0.328388, 0.199569, 2045732806, 6229.619232
gcc_O0,65536, 0.327017, 0.200405, 2045713612, 6255.670599
gcc_O0,65536, 0.326201, 0.200907, 2046178070, 6272.756020
gcc_O0,65536, 0.326221, 0.200895, 2046177750, 6272.375282
