compilador_flag,photons,time,pus,ins,ius
gcc_O0,65536, 0.353597, 0.185341, 2137084890, 6043.841951
gcc_O0,65536, 0.353847, 0.185210, 2137060062, 6039.500547
gcc_O0,65536, 0.358045, 0.183038, 2139020182, 5974.161963
gcc_O0,65536, 0.358783, 0.182662, 2138995581, 5961.806191
gcc_O0,65536, 0.353780, 0.185245, 2138991020, 6046.102161
gcc_O0,65536, 0.354280, 0.184984, 2138878910, 6037.257174
gcc_O0,65536, 0.353307, 0.185493, 2138809675, 6053.694170
gcc_O0,65536, 0.352440, 0.185949, 2138853667, 6068.706168
gcc_O0,65536, 0.357450, 0.183343, 2140190200, 5987.383444
gcc_O0,65536, 0.359326, 0.182386, 2140219523, 5956.199338
gcc_O0,65536, 0.355505, 0.184346, 2138814443, 6016.270518
gcc_O0,65536, 0.353738, 0.185267, 2138752513, 6046.145830
gcc_O0,65536, 0.357187, 0.183478, 2138810256, 5987.934275
gcc_O0,65536, 0.358404, 0.182855, 2141519217, 5975.152009
gcc_O0,65536, 0.356223, 0.183975, 2141486640, 6011.649209
gcc_O0,65536, 0.358689, 0.182710, 2141515388, 5970.403388
gcc_O0,65536, 0.357285, 0.183428, 2138718004, 5986.031792
gcc_O0,65536, 0.353773, 0.185249, 2138432176, 6044.643885
gcc_O0,65536, 0.354281, 0.184983, 2138545616, 6036.290204
gcc_O0,65536, 0.354521, 0.184858, 2140210990, 6036.902474
gcc_O0,65536, 0.355546, 0.184325, 2140184933, 6019.439549
gcc_O0,65536, 0.353891, 0.185187, 2140200975, 6047.635433
gcc_O0,65536, 0.353723, 0.185275, 2138643347, 6046.090902
gcc_O0,65536, 0.355441, 0.184380, 2138708726, 6017.064598
gcc_O0,65536, 0.355089, 0.184562, 2139234399, 6024.494440
gcc_O0,65536, 0.361014, 0.181533, 2139243915, 5925.649186
gcc_O0,65536, 0.354778, 0.184724, 2139253002, 6029.828375
gcc_O0,65536, 0.354180, 0.185036, 2140017642, 6042.175164
gcc_O0,65536, 0.352901, 0.185706, 2140041664, 6064.139140
gcc_O0,65536, 0.358039, 0.183042, 2140032318, 5977.096759
gcc_O0,65536, 0.354307, 0.184970, 2139279603, 6037.929047
gcc_O0,65536, 0.362015, 0.181031, 2139304817, 5909.430125
gcc_O0,65536, 0.353780, 0.185245, 2139282599, 6046.927265
gcc_O0,65536, 0.354034, 0.185112, 2138080623, 6039.192580
gcc_O0,65536, 0.352422, 0.185959, 2138138989, 6066.989187
gcc_O0,65536, 0.352290, 0.186028, 2138860257, 6071.303190
gcc_O0,65536, 0.354356, 0.184944, 2138837134, 6035.850819
gcc_O0,65536, 0.353631, 0.185323, 2138840473, 6048.231023
gcc_O0,65536, 0.355466, 0.184366, 2139264400, 6018.192641
gcc_O0,65536, 0.354728, 0.184750, 2139300711, 6030.819864
gcc_O0,65536, 0.352660, 0.185833, 2139254299, 6066.054598
gcc_O0,65536, 0.362519, 0.180779, 2140211753, 5903.719387
gcc_O0,65536, 0.357720, 0.183205, 2140154016, 5982.770743
gcc_O0,65536, 0.361738, 0.181170, 2140241807, 5916.553165
gcc_O0,65536, 0.354089, 0.185083, 2139399458, 6041.980302
gcc_O0,65536, 0.354610, 0.184812, 2139473451, 6033.319931
gcc_O0,65536, 0.354368, 0.184938, 2139507472, 6037.534205
gcc_O0,65536, 0.354885, 0.184668, 2138854256, 6026.895401
gcc_O0,65536, 0.353734, 0.185269, 2138833044, 6046.450252
gcc_O0,65536, 0.400464, 0.163650, 2141633087, 5347.883838
gcc_O0,65536, 0.355522, 0.184337, 2141006909, 6022.148578
gcc_O0,65536, 0.354705, 0.184762, 2140919405, 6035.772965
gcc_O0,65536, 0.354340, 0.184952, 2139334483, 6037.512561
gcc_O0,65536, 0.358716, 0.182696, 2139391992, 5964.031005
gcc_O0,65536, 0.354198, 0.185027, 2139302211, 6039.852849
gcc_O0,65536, 0.357707, 0.183211, 2139149850, 5980.176057
gcc_O0,65536, 0.353985, 0.185138, 2139039068, 6042.747349
gcc_O0,65536, 0.354882, 0.184670, 2139099316, 6027.641424
gcc_O0,65536, 0.353969, 0.185146, 2139455920, 6044.195292
gcc_O0,65536, 0.354475, 0.184882, 2139475702, 6035.616398
gcc_O0,65536, 0.354762, 0.184732, 2139518916, 6030.859331
gcc_O0,65536, 0.352824, 0.185747, 2140552522, 6066.911738
gcc_O0,65536, 0.354933, 0.184643, 2140571275, 6030.918916
gcc_O0,65536, 0.353881, 0.185192, 2138847475, 6043.970848
gcc_O0,65536, 0.354281, 0.184983, 2138809510, 6037.050309
gcc_O0,65536, 0.356600, 0.183780, 2138869786, 5997.945829
gcc_O0,65536, 0.353717, 0.185278, 2138348169, 6045.371349
gcc_O0,65536, 0.354237, 0.185006, 2138381024, 6036.577535
gcc_O0,65536, 0.353737, 0.185267, 2138353090, 6045.032010
gcc_O0,65536, 0.353445, 0.185421, 2138346157, 6050.016155
gcc_O0,65536, 0.359105, 0.182498, 2138428312, 5954.877358
gcc_O0,65536, 0.351925, 0.186221, 2138348149, 6076.139871
gcc_O0,65536, 0.359131, 0.182485, 2138914064, 5955.805817
gcc_O0,65536, 0.377394, 0.173654, 2139076925, 5668.020340
gcc_O0,65536, 0.352996, 0.185657, 2139348601, 6060.553423
gcc_O0,65536, 0.353716, 0.185279, 2139254929, 6047.943966
gcc_O0,65536, 0.355549, 0.184323, 2139361895, 6017.057960
gcc_O0,65536, 0.355958, 0.184112, 2138765886, 6008.480217
gcc_O0,65536, 0.361180, 0.181450, 2138784075, 5921.651851
gcc_O0,65536, 0.363036, 0.180522, 2138785070, 5891.385117
gcc_O0,65536, 0.363215, 0.180433, 2139723100, 5891.068170
gcc_O0,65536, 0.359401, 0.182348, 2139661064, 5953.406596
gcc_O0,65536, 0.354098, 0.185079, 2139636522, 6042.505812
gcc_O0,65536, 0.354953, 0.184633, 2139118552, 6026.479622
gcc_O0,65536, 0.353905, 0.185180, 2139080534, 6044.218026
gcc_O0,65536, 0.352689, 0.185818, 2139134188, 6065.212230
gcc_O0,65536, 0.354573, 0.184831, 2138325992, 6030.699341
gcc_O0,65536, 0.353734, 0.185269, 2138333733, 6045.035374
gcc_O0,65536, 0.354675, 0.184778, 2139077225, 6031.094351
gcc_O0,65536, 0.358213, 0.182952, 2139090693, 5971.554171
gcc_O0,65536, 0.354914, 0.184653, 2139100634, 6027.094468
gcc_O0,65536, 0.354919, 0.184651, 2140065055, 6029.732040
gcc_O0,65536, 0.354367, 0.184938, 2140026785, 6039.013625
gcc_O0,65536, 0.357696, 0.183217, 2140060960, 5982.904031
gcc_O0,65536, 0.353324, 0.185484, 2137362356, 6049.294222
gcc_O0,65536, 0.357280, 0.183430, 2137414557, 5982.463008
gcc_O0,65536, 0.354147, 0.185053, 2137378022, 6035.290452
gcc_O0,65536, 0.354680, 0.184775, 2140692371, 6035.567824
gcc_O0,65536, 0.352840, 0.185739, 2140640646, 6066.893174
gcc_O0,65536, 0.352937, 0.185688, 2140703121, 6065.401838
gcc_O0,65536, 0.354448, 0.184896, 2138678122, 6033.822280
gcc_O0,65536, 0.354773, 0.184727, 2138639679, 6028.193045
gcc_O0,65536, 0.354084, 0.185086, 2140260242, 6044.499231
gcc_O0,65536, 0.354097, 0.185079, 2140287618, 6044.354084
gcc_O0,65536, 0.352567, 0.185883, 2140259884, 6070.512857
gcc_O0,65536, 0.352872, 0.185721, 2140314786, 6065.406227
gcc_O0,65536, 0.352615, 0.185857, 2140296881, 6069.786519
gcc_O0,65536, 0.356006, 0.184087, 2140383122, 6012.218698
gcc_O0,65536, 0.354296, 0.184975, 2139036887, 6037.433318
gcc_O0,65536, 0.353113, 0.185595, 2139062307, 6057.722852
gcc_O0,65536, 0.356963, 0.183593, 2139024359, 5992.279525
gcc_O0,65536, 0.354438, 0.184901, 2139677942, 6036.812777
gcc_O0,65536, 0.354618, 0.184807, 2139726805, 6033.887052
gcc_O0,65536, 0.354120, 0.185067, 2139757956, 6042.471201
gcc_O0,65536, 0.357527, 0.183304, 2140044701, 5985.690708
gcc_O0,65536, 0.352694, 0.185816, 2139948414, 6067.438483
gcc_O0,65536, 0.354143, 0.185055, 2140197358, 6043.311514
gcc_O0,65536, 0.355476, 0.184361, 2140252800, 6020.808816
gcc_O0,65536, 0.354160, 0.185047, 2140220905, 6043.098343
gcc_O0,65536, 0.354674, 0.184778, 2140019232, 6033.758457
gcc_O0,65536, 0.353911, 0.185176, 2140010593, 6046.746747
gcc_O0,65536, 0.357691, 0.183220, 2140094850, 5983.084217
gcc_O0,65536, 0.360396, 0.181845, 2137722217, 5931.599825
gcc_O0,65536, 0.353595, 0.185342, 2137641754, 6045.457890
gcc_O0,65536, 0.364999, 0.179551, 2137764097, 5856.902571
gcc_O0,65536, 0.354417, 0.184912, 2139496345, 6036.661854
gcc_O0,65536, 0.352623, 0.185853, 2139476950, 6067.319930
gcc_O0,65536, 0.355475, 0.184362, 2139512183, 6018.736201
gcc_O0,65536, 0.356039, 0.184070, 2138529562, 6006.451938
gcc_O0,65536, 0.352268, 0.186040, 2138395239, 6070.370820
gcc_O0,65536, 0.352347, 0.185998, 2138462607, 6069.187021
gcc_O0,1048576, 5.647234, 0.185680, 34221680711, 6059.901288
gcc_O0,1048576, 5.643797, 0.185793, 34229929609, 6065.053372
gcc_O0,1048576, 5.631303, 0.186205, 34222940923, 6077.268959
gcc_O0,1048576, 5.631797, 0.186189, 34229619972, 6077.921679
gcc_O0,1048576, 5.699504, 0.183977, 34231573607, 6006.061455
gcc_O0,1048576, 5.690044, 0.184283, 34224256882, 6014.761059
gcc_O0,1048576, 5.646027, 0.185719, 34226469712, 6062.045270
gcc_O0,1048576, 5.634397, 0.186103, 34219147873, 6073.258610
gcc_O0,1048576, 5.631799, 0.186188, 34223234923, 6076.785561
gcc_O0,1048576, 5.631154, 0.186210, 34224816498, 6077.762359
gcc_O0,1048576, 5.632334, 0.186171, 34229154480, 6077.259584
gcc_O0,1048576, 5.631998, 0.186182, 34220975053, 6076.169432
gcc_O0,1048576, 5.645721, 0.185729, 34225637218, 6062.226127
gcc_O0,1048576, 5.665259, 0.185089, 34225716221, 6041.332716
gcc_O0,1048576, 5.637870, 0.185988, 34225944265, 6070.722618
gcc_O0,1048576, 5.770517, 0.181713, 34221774530, 5930.451984
gcc_O0,1048576, 5.796168, 0.180908, 34223749888, 5904.547606
gcc_O0,1048576, 5.634136, 0.186111, 34225952693, 6074.747041
gcc_O0,1048576, 5.633186, 0.186143, 34227247402, 6076.001221
gcc_O0,1048576, 5.638585, 0.185964, 34226169904, 6069.992494
gcc_O0,1048576, 5.632274, 0.186173, 34226680055, 6076.884772
gcc_O0,1048576, 5.694789, 0.184129, 34224247803, 6009.748032
gcc_O0,1048576, 5.651868, 0.185527, 34219990399, 6054.633476
gcc_O0,1048576, 5.632531, 0.186164, 34227629425, 6076.775703
gcc_O0,1048576, 5.707006, 0.183735, 34220839085, 5996.285412
gcc_O0,1048576, 5.634766, 0.186090, 34227544907, 6074.350265
gcc_O0,1048576, 5.633044, 0.186147, 34229240769, 6076.508342
gcc_O0,1048576, 5.633257, 0.186140, 34228033403, 6076.064935
gcc_O0,1048576, 5.631309, 0.186205, 34219529439, 6076.655906
gcc_O0,1048576, 5.632333, 0.186171, 34228445607, 6077.134868
gcc_O0,16777216, 90.200329, 0.185999, 547566124833, 6070.555706
gcc_O0,16777216, 89.689948, 0.187058, 547577762369, 6105.230037
gcc_O0,16777216, 90.100727, 0.186205, 547607758972, 6077.728504
gcc_O0,16777216, 90.095298, 0.186216, 547551861204, 6077.474305
gcc_O0,16777216, 90.081953, 0.186244, 547565977896, 6078.531352
gcc_O1,65536, 0.176590, 0.371120, 1130394973, 6401.252768
gcc_O1,65536, 0.177367, 0.369493, 1130443218, 6373.458948
gcc_O1,65536, 0.176060, 0.372236, 1130416377, 6420.613493
gcc_O1,65536, 0.180558, 0.362963, 1130380088, 6260.467009
gcc_O1,65536, 0.176560, 0.371182, 1130376920, 6402.217623
gcc_O1,65536, 0.177346, 0.369538, 1130365635, 6373.797527
gcc_O1,65536, 0.176438, 0.371440, 1130024322, 6404.662378
gcc_O1,65536, 0.176434, 0.371448, 1130014372, 6404.754090
gcc_O1,65536, 0.176414, 0.371490, 1130027462, 6405.538602
gcc_O1,65536, 0.176392, 0.371537, 1130013098, 6406.270973
gcc_O1,65536, 0.176401, 0.371518, 1130017285, 6405.969239
gcc_O1,65536, 0.177394, 0.369438, 1130518152, 6372.934329
gcc_O1,65536, 0.176472, 0.371367, 1130529391, 6406.273543
gcc_O1,65536, 0.176520, 0.371267, 1130531588, 6404.554568
gcc_O1,65536, 0.176150, 0.372047, 1130533482, 6418.028072
gcc_O1,65536, 0.176482, 0.371347, 1130542437, 6405.997208
gcc_O1,65536, 0.177704, 0.368793, 1130530911, 6361.867710
gcc_O1,65536, 0.177887, 0.368413, 1130504647, 6355.169883
gcc_O1,65536, 0.178569, 0.367007, 1130507659, 6330.933033
gcc_O1,65536, 0.177689, 0.368825, 1130484049, 6362.164268
gcc_O1,65536, 0.179764, 0.364566, 1130513386, 6288.864422
gcc_O1,65536, 0.179785, 0.364525, 1130519595, 6288.186345
gcc_O1,65536, 0.177640, 0.368925, 1130483134, 6363.889154
gcc_O1,65536, 0.177879, 0.368430, 1131077664, 6358.689164
gcc_O1,65536, 0.178871, 0.366387, 1131091851, 6323.502870
gcc_O1,65536, 0.176555, 0.371192, 1130974115, 6405.775791
gcc_O1,65536, 0.176382, 0.371558, 1131160529, 6413.142835
gcc_O1,65536, 0.179871, 0.364349, 1131063671, 6288.182273
gcc_O1,65536, 0.177912, 0.368362, 1131494317, 6359.864389
gcc_O1,65536, 0.179191, 0.365733, 1131521221, 6314.610267
gcc_O1,65536, 0.177840, 0.368511, 1131495894, 6362.432363
gcc_O1,65536, 0.177974, 0.368233, 1131473005, 6357.515148
gcc_O1,65536, 0.178216, 0.367734, 1131519544, 6349.147323
gcc_O1,65536, 0.178047, 0.368083, 1131484065, 6354.973659
gcc_O1,65536, 0.177858, 0.368473, 1130949357, 6358.714575
gcc_O1,65536, 0.177792, 0.368611, 1130961934, 6361.168015
gcc_O1,65536, 0.178059, 0.368059, 1130965706, 6351.652369
gcc_O1,65536, 0.178300, 0.367560, 1130959128, 6343.010646
gcc_O1,65536, 0.178842, 0.366447, 1130962170, 6323.818131
gcc_O1,65536, 0.177814, 0.368564, 1130145995, 6355.764866
gcc_O1,65536, 0.177671, 0.368861, 1130157872, 6360.944797
gcc_O1,65536, 0.177648, 0.368909, 1130146180, 6361.712949
gcc_O1,65536, 0.177672, 0.368859, 1130140880, 6360.827035
gcc_O1,65536, 0.179400, 0.365307, 1130175264, 6299.763734
gcc_O1,65536, 0.177686, 0.368830, 1130123573, 6360.218615
gcc_O1,65536, 0.176598, 0.371104, 1130969530, 6404.217500
gcc_O1,65536, 0.176669, 0.370954, 1130994097, 6401.782597
gcc_O1,65536, 0.180693, 0.362692, 1131017955, 6259.320131
gcc_O1,65536, 0.177990, 0.368200, 1131033468, 6354.464676
gcc_O1,65536, 0.177869, 0.368451, 1131028100, 6358.767073
gcc_O1,65536, 0.177812, 0.368569, 1130327799, 6356.863665
gcc_O1,65536, 0.177802, 0.368590, 1130335677, 6357.278333
gcc_O1,65536, 0.177821, 0.368550, 1130355404, 6356.701922
gcc_O1,65536, 0.176448, 0.371418, 1130276041, 6405.717243
gcc_O1,65536, 0.176460, 0.371393, 1130289014, 6405.355727
gcc_O1,65536, 0.200111, 0.327499, 1130498529, 5649.367782
gcc_O1,65536, 0.176552, 0.371200, 1130873845, 6405.344460
gcc_O1,65536, 0.176544, 0.371217, 1130897036, 6405.761070
gcc_O1,65536, 0.176513, 0.371282, 1130895280, 6406.871376
