version,cores,photons,time,pus
lab2,1,16777216,6.502381,2.580165
lab3,1,134217728,57.228867,2.345280
lab3,6,67108864,4.833748,13.883402
lab3,24,33554432,0.647219,51.843980
lab3,48,33554432,0.405099,82.830175
