photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 147.889516, 29.041729
4294967296, 32, 32, 4194304, 148.207469, 28.979425
4294967296, 32, 64, 2097152, 74.653898, 57.531722
4294967296, 32, 64, 2097152, 74.441578, 57.695812
4294967296, 32, 128, 1048576, 39.394961, 109.023266
4294967296, 32, 128, 1048576, 39.116707, 109.798795
4294967296, 32, 256, 524288, 22.552615, 190.442095
4294967296, 32, 256, 524288, 23.428689, 183.320851
4294967296, 32, 512, 262144, 17.685529, 242.852064
4294967296, 32, 512, 262144, 17.630568, 243.609123
4294967296, 32, 1024, 131072, 16.870150, 254.589746
4294967296, 32, 1024, 131072, 16.917562, 253.876248
4294967296, 64, 32, 2097152, 110.925828, 38.719272
4294967296, 64, 32, 2097152, 111.394883, 38.556235
4294967296, 64, 64, 1048576, 57.385734, 74.843815
4294967296, 64, 64, 1048576, 56.596957, 75.886894
4294967296, 64, 128, 524288, 30.410621, 141.232475
4294967296, 64, 128, 524288, 30.883803, 139.068603
4294967296, 64, 256, 262144, 17.908166, 239.832895
4294967296, 64, 256, 262144, 18.350105, 234.056818
4294967296, 64, 512, 131072, 14.922796, 287.812507
4294967296, 64, 512, 131072, 14.890637, 288.434093
4294967296, 64, 1024, 65536, 15.046707, 285.442342
4294967296, 64, 1024, 65536, 14.956143, 287.170791
4294967296, 128, 32, 1048576, 92.798773, 46.282587
4294967296, 128, 32, 1048576, 92.877219, 46.243496
4294967296, 128, 64, 524288, 47.608961, 90.213422
4294967296, 128, 64, 524288, 47.523949, 90.374798
4294967296, 128, 128, 262144, 25.864338, 166.057500
4294967296, 128, 128, 262144, 25.782605, 166.583913
4294967296, 128, 256, 131072, 16.160385, 265.771351
4294967296, 128, 256, 131072, 16.089153, 266.948000
4294967296, 128, 512, 65536, 13.626924, 315.182454
4294967296, 128, 512, 65536, 13.592812, 315.973431
4294967296, 128, 1024, 32768, 14.613701, 293.900036
4294967296, 128, 1024, 32768, 14.347587, 299.351196
4294967296, 256, 32, 524288, 83.575242, 51.390426
4294967296, 256, 32, 524288, 83.350086, 51.529249
4294967296, 256, 64, 262144, 42.986988, 99.913194
4294967296, 256, 64, 262144, 42.900207, 100.115305
4294967296, 256, 128, 131072, 23.200596, 185.123147
4294967296, 256, 128, 131072, 23.014193, 186.622543
4294967296, 256, 256, 65536, 14.763335, 290.921212
4294967296, 256, 256, 65536, 14.700593, 292.162865
4294967296, 256, 512, 32768, 13.639345, 314.895428
4294967296, 256, 512, 32768, 13.600363, 315.797983
4294967296, 256, 1024, 16384, 14.828755, 289.637757
4294967296, 256, 1024, 16384, 14.735365, 291.473420
4294967296, 512, 32, 262144, 83.611547, 51.368112
4294967296, 512, 32, 262144, 83.252414, 51.589703
4294967296, 512, 64, 131072, 42.944434, 100.012200
4294967296, 512, 64, 131072, 42.878312, 100.166426
4294967296, 512, 128, 65536, 23.081537, 186.078045
4294967296, 512, 128, 65536, 22.974369, 186.946038
4294967296, 512, 256, 32768, 14.785229, 290.490405
4294967296, 512, 256, 32768, 14.721543, 291.747088
4294967296, 512, 512, 16384, 13.889724, 309.219061
4294967296, 512, 512, 16384, 13.743203, 312.515740
4294967296, 512, 1024, 8192, 15.284157, 281.007793
4294967296, 512, 1024, 8192, 15.243842, 281.750975
4294967296, 1024, 32, 131072, 82.041234, 52.351325
4294967296, 1024, 32, 131072, 81.233594, 52.871812
4294967296, 1024, 64, 65536, 41.789789, 102.775520
4294967296, 1024, 64, 65536, 41.714590, 102.960794
4294967296, 1024, 128, 32768, 22.520072, 190.717296
4294967296, 1024, 128, 32768, 22.429160, 191.490331
4294967296, 1024, 256, 16384, 14.533688, 295.518051
4294967296, 1024, 256, 16384, 14.462552, 296.971611
4294967296, 1024, 512, 8192, 13.695734, 313.598904
4294967296, 1024, 512, 8192, 13.662893, 314.352709
4294967296, 1024, 1024, 4096, 15.375846, 279.332102
4294967296, 1024, 1024, 4096, 15.293425, 280.837507
4294967296, 2048, 32, 65536, 80.039602, 53.660528
4294967296, 2048, 32, 65536, 79.666070, 53.912127
4294967296, 2048, 64, 32768, 41.208965, 104.224101
4294967296, 2048, 64, 32768, 41.142559, 104.392324
4294967296, 2048, 128, 16384, 22.214090, 193.344284
4294967296, 2048, 128, 16384, 22.136607, 194.021027
4294967296, 2048, 256, 8192, 14.437574, 297.485383
4294967296, 2048, 256, 8192, 14.354383, 299.209472
4294967296, 2048, 512, 4096, 13.744257, 312.491781
4294967296, 2048, 512, 4096, 13.703981, 313.410180
4294967296, 2048, 1024, 2048, 15.473942, 277.561283
4294967296, 2048, 1024, 2048, 15.414112, 278.638640
4294967296, 4094, 32, 32784, 79.503133, 54.022617
4294967296, 4094, 32, 32784, 79.101180, 54.297133
4294967296, 4094, 64, 16392, 41.193684, 104.262764
4294967296, 4094, 64, 16392, 41.094957, 104.513245
4294967296, 4094, 128, 8196, 22.081920, 194.501534
4294967296, 4094, 128, 8196, 22.040092, 194.870663
4294967296, 4094, 256, 4098, 14.381397, 298.647423
4294967296, 4094, 256, 4098, 14.287651, 300.606950
4294967296, 4094, 512, 2049, 13.726534, 312.895247
4294967296, 4094, 512, 2049, 13.688583, 313.762739
4294967296, 4094, 1024, 1024, 15.486729, 277.332105
4294967296, 4094, 1024, 1024, 15.418322, 278.562558
4294967296, 8192, 32, 16384, 79.474961, 54.041767
4294967296, 8192, 32, 16384, 79.031937, 54.344705
4294967296, 8192, 64, 8192, 41.141453, 104.395129
4294967296, 8192, 64, 8192, 41.057879, 104.607627
4294967296, 8192, 128, 4096, 22.092129, 194.411653
4294967296, 8192, 128, 4096, 22.089668, 194.433312
4294967296, 8192, 256, 2048, 14.374550, 298.789691
4294967296, 8192, 256, 2048, 14.284459, 300.674131
4294967296, 8192, 512, 1024, 13.711744, 313.232748
4294967296, 8192, 512, 1024, 13.679208, 313.977775
4294967296, 8192, 1024, 512, 15.605604, 275.219540
4294967296, 8192, 1024, 512, 15.528065, 276.593843
4294967296, 16384, 32, 8192, 79.313055, 54.152085
4294967296, 16384, 32, 8192, 78.905633, 54.431694
4294967296, 16384, 64, 4096, 41.050742, 104.625813
4294967296, 16384, 64, 4096, 40.985859, 104.791442
4294967296, 16384, 128, 2048, 22.054908, 194.739749
4294967296, 16384, 128, 2048, 22.002738, 195.201490
4294967296, 16384, 256, 1024, 14.360973, 299.072173
4294967296, 16384, 256, 1024, 14.287631, 300.607381
4294967296, 16384, 512, 512, 13.727426, 312.874924
4294967296, 16384, 512, 512, 13.690860, 313.710547
4294967296, 16384, 1024, 256, 15.748749, 272.717997
4294967296, 16384, 1024, 256, 15.646403, 274.501891
4294967296, 32768, 32, 4096, 79.239648, 54.202251
4294967296, 32768, 32, 4096, 78.779914, 54.518558
4294967296, 32768, 64, 2048, 41.008727, 104.733008
4294967296, 32768, 64, 2048, 40.935680, 104.919897
4294967296, 32768, 128, 1024, 22.074885, 194.563521
4294967296, 32768, 128, 1024, 21.980676, 195.397418
4294967296, 32768, 256, 512, 14.391235, 298.443267
4294967296, 32768, 256, 512, 14.307186, 300.196519
4294967296, 32768, 512, 256, 13.769083, 311.928347
4294967296, 32768, 512, 256, 13.727105, 312.882225
4294967296, 32768, 1024, 128, 15.894298, 270.220637
4294967296, 32768, 1024, 128, 15.811706, 271.632124
