photons,time,pus,ins,ius
64, 0.000690, 0.092752, 2148864, 3114.227952
64, 0.000440, 0.145584, 2147238, 4884.415732
64, 0.000439, 0.145653, 2147451, 4887.234866
64, 0.000814, 0.078623, 2190841, 2691.407877
64, 0.000462, 0.138384, 2156880, 4663.715915
64, 0.000442, 0.144762, 2147238, 4856.850748
64, 0.000552, 0.116013, 2150624, 3898.459196
64, 0.000991, 0.064563, 2167504, 2186.555458
64, 0.000509, 0.125655, 2157834, 4236.612805
64, 0.000439, 0.145814, 2148545, 4895.127758
64, 0.000445, 0.143757, 2147749, 4824.288233
64, 0.000443, 0.144331, 2147259, 4842.451017
64, 0.000441, 0.145100, 2147111, 4867.904551
64, 0.000773, 0.082769, 2156510, 2788.934325
64, 0.000889, 0.071984, 2158776, 2428.081841
64, 0.000526, 0.121573, 2165796, 4114.096191
64, 0.000439, 0.145675, 2148977, 4891.453636
64, 0.000439, 0.145818, 2147238, 4892.294863
64, 0.000439, 0.145738, 2148864, 4893.312657
64, 0.000442, 0.144860, 2147749, 4861.283321
64, 0.000807, 0.079319, 2177677, 2698.915936
64, 0.000692, 0.092530, 2155088, 3115.788378
64, 0.000439, 0.145676, 2161570, 4920.128741
64, 0.000439, 0.145922, 2147111, 4895.474371
64, 0.000439, 0.145631, 2148075, 4887.898550
64, 0.000441, 0.145212, 2148387, 4874.543945
64, 0.000438, 0.146189, 2148912, 4908.556405
64, 0.000716, 0.089392, 2158640, 3015.066674
64, 0.000707, 0.090574, 2157919, 3053.925460
64, 0.000452, 0.141687, 2147386, 4753.998774
64, 0.000444, 0.144252, 2147351, 4840.006131
64, 0.000655, 0.097742, 2158930, 3297.143503
64, 0.000530, 0.120666, 2154529, 4062.175238
64, 0.000702, 0.091129, 2148068, 3058.605758
64, 0.000918, 0.069693, 2192076, 2387.060663
64, 0.000439, 0.145894, 2147111, 4894.548116
64, 0.000505, 0.126810, 2147351, 4254.775190
64, 0.000441, 0.145229, 2148878, 4876.255440
64, 0.000511, 0.125307, 2156068, 4221.401203
64, 0.000441, 0.145191, 2147238, 4871.229583
64, 0.000732, 0.087484, 2148912, 2937.437804
64, 0.000461, 0.138852, 2155431, 4676.346540
64, 0.000503, 0.127238, 2187324, 4348.591241
64, 0.000444, 0.144015, 2148864, 4835.460185
64, 0.000450, 0.142302, 2148998, 4778.237542
64, 0.000800, 0.080010, 2155226, 2694.365928
64, 0.000989, 0.064709, 2159128, 2183.045446
64, 0.000793, 0.080681, 2157472, 2719.798499
64, 0.000447, 0.143272, 2154349, 4822.777103
64, 0.000447, 0.143241, 2156636, 4826.848702
64, 0.000446, 0.143382, 2154423, 4826.659707
64, 0.000448, 0.142722, 2157560, 4811.417740
64, 0.000707, 0.090504, 2162125, 3057.528268
64, 0.000649, 0.098565, 2172873, 3346.397830
64, 0.000454, 0.140958, 2155345, 4747.079527
64, 0.000453, 0.141278, 2157974, 4763.644872
64, 0.000467, 0.137111, 2195231, 4702.984742
64, 0.000445, 0.143958, 2147153, 4829.686396
64, 0.000450, 0.142349, 2157603, 4798.939057
64, 0.000940, 0.068100, 2222644, 2365.038221
64, 0.000561, 0.114168, 2158982, 3851.356727
64, 0.000461, 0.138703, 2158521, 4678.006324
64, 0.000450, 0.142205, 2154831, 4787.938781
64, 0.000451, 0.141923, 2159368, 4788.497147
64, 0.000458, 0.139822, 2157214, 4712.893740
64, 0.000449, 0.142677, 2158540, 4812.100810
64, 0.000451, 0.141976, 2155588, 4781.906917
64, 0.000445, 0.143852, 2149198, 4830.711413
64, 0.000438, 0.146191, 2148068, 4906.684575
64, 0.000533, 0.119993, 2189790, 4105.627874
64, 0.000458, 0.139866, 2157853, 4715.783654
64, 0.000463, 0.138338, 2156695, 4661.763593
64, 0.000466, 0.137486, 2157799, 4635.433651
64, 0.000456, 0.140355, 2155726, 4727.604076
64, 0.000749, 0.085465, 2164475, 2890.429490
64, 0.000464, 0.138073, 2155953, 4651.221943
64, 0.000438, 0.146199, 2148580, 4908.134385
64, 0.000456, 0.140327, 2148864, 4711.635780
64, 0.000438, 0.146155, 2147238, 4903.578965
64, 0.000448, 0.142873, 2159121, 4819.993705
64, 0.000449, 0.142685, 2158269, 4811.775565
64, 0.000540, 0.118565, 2155039, 3992.387738
64, 0.000849, 0.075340, 2155928, 2537.941491
64, 0.000494, 0.129613, 2161365, 4377.208740
64, 0.000465, 0.137642, 2189330, 4708.499830
64, 0.000451, 0.141898, 2155684, 4779.501006
64, 0.000463, 0.138355, 2184537, 4722.516586
64, 0.000449, 0.142522, 2155257, 4799.571097
64, 0.000475, 0.134609, 2209513, 4647.193927
64, 0.000481, 0.133034, 2165599, 4501.536127
64, 0.000442, 0.144909, 2149198, 4866.237221
64, 0.000439, 0.145944, 2148919, 4900.334075
64, 0.000438, 0.145990, 2147351, 4898.322251
64, 0.000439, 0.145801, 2147351, 4891.983880
64, 0.000438, 0.145980, 2148545, 4900.688158
64, 0.000438, 0.146165, 2147749, 4905.093169
64, 0.000628, 0.101973, 2155917, 3435.089290
64, 0.000475, 0.134831, 2158868, 4548.154609
64, 0.000487, 0.131392, 2154150, 4422.461419
64, 0.000457, 0.140113, 2154216, 4716.142521
64, 0.000439, 0.145808, 2148068, 4893.829141
64, 0.000450, 0.142094, 2154484, 4783.437129
64, 0.000462, 0.138518, 2158746, 4672.266543
64, 0.000477, 0.134216, 2187567, 4587.604306
64, 0.000475, 0.134728, 2157531, 4541.864548
64, 0.000439, 0.145822, 2147770, 4893.629626
64, 0.000447, 0.143087, 2154769, 4817.505405
64, 0.000487, 0.131358, 2191048, 4497.049581
64, 0.000465, 0.137681, 2161397, 4649.725499
64, 0.000463, 0.138340, 2184315, 4721.546732
64, 0.000478, 0.133783, 2192721, 4583.590623
64, 0.000576, 0.111049, 2190997, 3801.675793
64, 0.000495, 0.129174, 2155583, 4350.696428
64, 0.000439, 0.145836, 2148977, 4896.859505
64, 0.000438, 0.146127, 2147351, 4902.918895
64, 0.000443, 0.144430, 2149198, 4850.137998
64, 0.000437, 0.146404, 2147430, 4912.386251
64, 0.000437, 0.146314, 2148387, 4911.553102
64, 0.000439, 0.145942, 2149198, 4900.914419
64, 0.000479, 0.133716, 2157009, 4506.659675
64, 0.000464, 0.137974, 2148545, 4631.912421
64, 0.000442, 0.144914, 2148394, 4864.582012
64, 0.000457, 0.140105, 2147111, 4700.320271
64, 0.000466, 0.137479, 2160226, 4640.408141
64, 0.000469, 0.136467, 2207643, 4707.338708
