blocks,threads,photons,runs
8192,64,524288,2
8192,64,1048576,2
8192,64,2097152,2
8192,64,4194304,2
8192,64,8388608,2
8192,64,16777216,2
8192,64,33554432,2
8192,64,67108864,2
8192,64,134217728,2
8192,64,268435456,2
8192,64,536870912,2
8192,64,1073741824,2
8192,64,2147483648,2
8192,64,4294967296,2
8192,64,8589934592,2
8192,64,17179869184,2
8192,64,34359738368,2
8192,64,68719476736,2
8192,64,137438953472,1
8192,64,274877906944,1
